name,zone
NARELA,North Delhi
DABRI,Najafgarh
BANKNER,North Delhi
SAGARPUR,Najafgarh
HOLAMBI KALAN,North Delhi
MANGLAPURI,Najafgarh
ALIPUR,North Delhi
DWARKA-B,Najafgarh
BAKHTAWARPUR,North Delhi
DWARKA-A,Najafgarh
POOTH KALAN,North Delhi
MATIALA,Najafgarh
BEGUMPUR,North Delhi
KAKROLA,Najafgarh
SHAHBAAD DAIRY,North Delhi
NANGLI SAKRAWATI,Najafgarh
POOTH KHURD,North Delhi
CHHAWALA,Najafgarh
BAWANA,North Delhi
ISAPUR,Najafgarh
NANGAL THAKRAN,North Delhi
KANJHAWALA,North Delhi
ROSHAN PURA,Najafgarh
RANI KHERA,North Delhi
DWARKA-C,Najafgarh
NANGLOI,North Delhi
BIJWASAN,Najafgarh
MUNDKA,North Delhi
KAPASHERA,Najafgarh
NILOTHI,North Delhi
MAHIPALPUR,Najafgarh
BURARI,Central Delhi
RAJ NAGAR,Najafgarh
KADIPUR,Central Delhi
PALAM,Najafgarh
MUKUNDPUR,Central Delhi
MADHU VIHAR,Najafgarh
SANT NAGAR,Central Delhi
MAHAVIR ENCLAVE,Najafgarh
JHARODA,Central Delhi
TIMARPUR,Central Delhi
SIDHARTHA NAGAR,Central
MALKA GANJ,Central Delhi
LAJPAT NAGAR,Central
MUKHERJEE NAGAR,Central Delhi
ANDREWS GANJ,Central
DHIRPUR,Central Delhi
AMAR COLONY,Central
ADARSH NAGAR,Central Delhi
KOTLA MUBARAKPUR,Central
AZADPUR,Central Delhi
SANGAM VIHAR-C,Central
BHALSWA,Central Delhi
SANGAM VIHAR-B,Central
JAHANGIR PURI,Central Delhi
TUGHLAKABAD EXTENSION,Central
SARUP NAGAR,Central Delhi
SRI NIWAS PURI,Central
Central Zone21 SAMAYPUR BADLI ROHINI-A,Civil Line Rohini
KALKAJI GOVIND PURI HARKESH NAGAR,Central ZoneCentral
ROHINI-B,North West Delhi
TUGHLAKABAD,Central
RITHALA,North West Delhi
PUL PEHLADPUR,Central
VIJAY VIHAR,North West Delhi
BADARPUR,Central
BUDH VIHAR,North West Delhi
MOLARBAND,Central
KIRARI,North West Delhi
MEETHAPUR,Central
PREM NAGAR,North West Delhi
HARI NAGAR EXTENSION,Central
MUBARIKPUR,North West Delhi
JAITPUR,Central
NITHARI,North West Delhi
MADANPUR KHADAR EAST,Central
AMAN VIHAR,North West Delhi
MADANPUR KHADAR WEST,Central
MANGOL PURI,North West Delhi
SULTANPURI-A,North West Delhi
ZAKIR NAGAR,Central
SULTANPURI-B,North West Delhi
HAUZ KHAS,South
JAWALAPURI,North West Delhi
MALVIYA NAGAR,South
NANGLOI JAT,North West Delhi
GREEN PARK,South
NIHAL VIHAR,North West Delhi
MUNIRKA,South
GURU HARKISHAN NAGAR,North West Delhi
R.K. PURAM,South
MANGOLPURI-A,North West Delhi
VASANT VIHAR,South
MANGOLPURI-B,North West Delhi
LADO SARAI,South
ROHINI-C,North West Delhi
MEHRAULI,South
South Zone53 ROHINI-E ROHINI-F,Rohini Rohini
VASANT KUNJ AYA NAGAR BHATI,South ZoneSouth
ROHINI-D,North West Delhi
CHHATARPUR,South
SHALIMAR BAGH-A,North West Delhi
SAID-UL-AJAIB,South
SHALIMAR BAGH-B,North West Delhi
DEOLI,South
PITAM PURA,North West Delhi
TIGRI,South
SARASWATI VIHAR,North West Delhi
SANGAM VIHAR-A,South
PASCHIM VIHAR,North West Delhi
DAKSHIN PURI,South
RANI BAGH,North West Delhi
MADANGIR,South
KOHAT ENCLAVE,North West Delhi
PUSHP VIHAR,South
SHAKUR PUR,North West Delhi
KHANPUR,South
TRI NAGAR,North West Delhi
CHITARANJAN PARK,South
CHIRAG DELHI,South
KESHAV PURAM,North West Delhi
GREATER KAILASH,South
ASHOK VIHAR,North West Delhi
WAZIR PUR,North West Delhi
SANGAM PARK,North West Delhi
MODEL TOWN,North West Delhi
KAMLA NAGAR,North West Delhi
SHASTRI NAGAR,City S.P.
KISHAN GANJ,City S.P.
SADAR BAZAR,City S.P.
CIVIL LINES,City S.P.
CHANDNI CHOWK,City S.P.
JAMA MASJID,City S.P.
CHANDANI MAHAL,City S.P.
DELHI GATE,City S.P.
BAZAR SITA RAM,City S.P.
BALLIMARAN,City S.P.
RAM NAGAR,City S.P.
QURAISH NAGAR,City S.P.
PAHAR GANJ,Central Delhi
KAROL BAGH,Central Delhi
DEV NAGAR,Central Delhi
WEST PATEL NAGAR,Central Delhi
EAST PATEL NAGAR,Central Delhi
RANJEET NAGAR,Central Delhi
BALJEET NAGAR,Central Delhi
KARAM PURA,Central Delhi
MOTI NAGAR,Central Delhi
RAMESH NAGAR,Central Delhi
NARAINA,Central Delhi
INDER PURI,Central Delhi
RAJINDER NAGAR,Central Delhi
PUNJABI BAGH,West
MADIPUR,West
RAGHUBIR NAGAR,West
VISHNU GARDEN,West
RAJOURI GARDEN,West
CHAUKHANDI NAGAR,West
SUBHASH NAGAR,West
HARI NAGAR,West
FATEH NAGAR,West
Shahdara North Zone102 TILAK NAGAR KHYALA,West Zone West
KESHOPUR,West
JANAK PURI SOUTH,West
MAHAVEER ENCLAVE,West
JANAK PURI WEST,West
VIKAS PURI,West
HASTSAL,West
VIKAS NAGAR,West
KUNWAR SINGH NAGAR,West
BAPROLA,West
SAINIK ENCLAVE,West
MOHAN GARDEN,West
NAWADA,West
UTTAM NAGAR,West
BINDA PUR,West
